Country,Code,GDP (USD),Population,GDP/Capita,GDP Growth,Inflation,Unemployment,Debt/GDP,Life Exp.,Trade/GDP
United States,USA,3.18213E+13,340110988,92883.466,2.1,2.4,4.198,128.7,78.38536585,25.37863425
China,CHN,2.06508E+13,1408975000,14730.309,4.2,0.7,4.615,102.3,77.953,37.19842014
Germany,DEU,5.32818E+12,83516593,63599.502,0.9,1.8,3.711,66,80.54146341,79.09073059
India,IND,4.50563E+12,1450935791,3051.301,6.2,4,4.219,80.8,72.003,44.64929351
Japan,JPN,4.46363E+12,123975371,36391.381,0.6,2.1,2.451,226.8,84.04121951,46.40695162
United Kingdom,GBR,4.22564E+12,69226000,60011.092,1.3,2.5,4.746,104.8,81.23809756,62.84016053
France,FRA,3.55856E+12,68551653,51707.603,0.9,1.5,7.542,119.6,82.92926829,68.10818754
Italy,ITA,2.70154E+12,58952704,45883.138,0.8,2,6.391,138.3,83.7,62.82376851
Russian Federation,RUS,2.50942E+12,143533851,17287.361,1,5.2,2.133,24.8,73.25463415,39.50816477
Canada,CAN,2.42084E+12,41288599,58243.586,1.5,2,6.907,113,81.64658537,65.14992127
Brazil,BRA,2.29269E+12,211998573,10709.355,1.9,4,5.97,95,75.848,35.58452394
Spain,ESP,2.04183E+12,48848840,40581.506,2,2,10.376,98.7,83.88292683,69.95026124
Mexico,MEX,2.031E+12,130861007,15110.786,1.5,3.3,2.673,59.9,75.069,74.58890798
Australia,AUS,1.94823E+12,27196812,69358.357,2.1,3,4.09,50.7,83.05121951,47.14538111
"Korea, Rep.",KOR,1.93662E+12,51751065,37523.285,1.8,1.8,2.683,56.7,83.42926829,84.64249512
Turkiye,TUR,1.57611E+12,85518661,18232.019,3.7,24.7,8.52,25.1,77.156,54.59880612
Indonesia,IDN,1.55024E+12,283487931,5397.79,4.9,2.9,3.237,41.1,71.146,42.5726473
Netherlands,NLD,1.41308E+12,17993485,77881.418,1.2,2.4,3.874,45.2,81.91463415,153.8306522
Saudi Arabia,SAU,1.31625E+12,35300280,35839.34,4,2,3.038,31.8,78.732,54.67870527
Poland,POL,1.10996E+12,36559233,30651.257,3.1,2.8,2.976,65.8,78.50731707,100.3594428
Switzerland,CHE,1.07459E+12,9005582,118173.258,1.3,0.6,4.873,36.1,84.05609756,134.0951485
Belgium,BEL,7.61174E+11,11858610,63896.432,1,1.3,5.906,110.6,82.39756098,158.9318263
Ireland,IRL,7.50112E+11,5395790,135247.398,1.3,1.7,4.632,31.5,82.86097561,246.1698749
Sweden,SWE,7.11503E+11,10569709,66123.903,1.9,1.6,8.694,35.6,83.3097561,105.8830915
Argentina,ARG,6.67922E+11,45696159,13895.282,4,16.4,7.145,73.6,77.395,27.92976085
Israel,ISR,6.66407E+11,9974400,64275.33,3.9,2.2,3.489,70.4,83.19512195,54.4520003
Singapore,SGP,6.06225E+11,6036860,99042.422,1.8,1.3,2.818,176.3,82.89512195,322.3714279
Austria,AUT,6.04198E+11,9177982,65640.479,0.8,2.3,5.582,83,81.54146341,108.8257778
United Arab Emirates,ARE,6.01163E+11,10986400,53841.581,5,2,2.174,31.9,82.909,199.0449792
Thailand,THA,5.61509E+11,71668011,7979.199,1.6,0.7,0.781,66.7,76.412,136.747107
Norway,NOR,5.47693E+11,5572279,96580.338,1.6,2.4,4.637,42.5,83.11219512,81.36350918
Philippines,PHL,5.33922E+11,115843670,4619.101,5.7,2.6,2.235,58.8,69.833,65.88547253
Bangladesh,BGD,5.19288E+11,173562364,2960.203,4.9,8.7,3.778,40.2,74.672,26.7780758
Viet Nam,VNM,5.11059E+11,100987686,4964.756,5.6,3.2,1.523,31.8,74.588,173.8620248
Malaysia,MYS,5.05364E+11,35557673,14762.197,4,2.2,3.764,70.5,76.657,137.3625712
Denmark,DNK,5.00051E+11,5976992,82705.782,2.2,2.1,5.529,29.1,81.85365854,131.765031
Colombia,COL,4.62251E+11,52886363,8644.307,2.3,3.5,8.29,61.9,77.725,37.02546871
"Hong Kong SAR, China",HKG,4.46646E+11,7524100,58999.369,2.1,2.1,2.799,14,85.24731707,359.5067107
Romania,ROU,4.44807E+11,19051804,23767.923,1.4,6.7,5.992,62.5,76.60731707,77.21498379
South Africa,ZAF,4.43643E+11,64007187,6834.501,1.2,3.7,32.391,79.5,66.139,61.64677047
Czechia,CZE,4.17134E+11,10905028,38372.72,2,2.3,2.825,45.7,79.87804878,131.4849811
Pakistan,PAK,4.10495E+11,251269164,1706.912,3.6,6,5.42,71.3,67.649,27.57846835
"Egypt, Arab Rep.",EGY,3.99508E+11,116538258,3578.57,4.5,11.8,6.781,85,71.633,39.60075209
"Iran, Islamic Rep.",IRN,3.75644E+11,91567738,4250.247,1.1,41.6,8.301,36.4,77.654,52.06213068
Portugal,PRT,3.64527E+11,10694681,33972.404,2.1,2.1,6.164,86.9,82.2804878,89.69640885
Chile,CHL,3.63299E+11,19764771,17876.395,2,3.1,8.974,43.7,81.167,63.85985725
Finland,FIN,3.35534E+11,5619911,59749.592,1.3,1.9,9.461,89.1,81.68536585,83.46010154
Nigeria,NGA,3.34341E+11,232679478,1378.284,4.2,22,3.064,35,54.462,NULL
Peru,PER,3.26608E+11,34217848,9397.957,2.7,1.9,5.117,33.6,77.74,51.47588787
Kazakhstan,KAZ,3.1977E+11,20592571,15527.082,4.8,11.2,4.771,26.4,74.402,57.1613432
Greece,GRC,3.04838E+11,10405134,29412.165,2,2.5,8.54,141.9,81.53658537,89.77652794
Algeria,DZA,2.84984E+11,46814308,5955.693,2.9,3.9,11.633,62.2,76.261,40.13457412
New Zealand,NZL,2.80553E+11,5287500,52180.91,2.2,2.1,5.076,56.1,83.00487805,51.22439722
Iraq,IRQ,2.73912E+11,46042015,5872.907,3.6,2.5,15.485,58,72.324,70.70874347
Hungary,HUN,2.69916E+11,9562065,28303.991,2.1,3.5,4.521,75.5,76.77073171,146.5045615
Qatar,QAT,2.39142E+11,2857822,76534.104,6.1,2.6,0.13,38.8,82.368,100.2136408
Ukraine,UKR,2.24259E+11,37860221,6717.821,4.5,7.6,9.834,110.4,73.422,77.75301133
Morocco,MAR,1.96121E+11,38081173,5154.293,4.2,1.8,9,66.6,75.313,92.18724461
Slovak Republic,SVK,1.6773E+11,5422069,31025.802,1.7,3.3,5.359,63.2,78.01707317,171.2128002
Kuwait,KWT,1.62895E+11,4897263,31241.854,3.9,2.2,2.181,10.7,83.18780488,96.07978816
Uzbekistan,UZB,1.59199E+11,36361859,4135.834,6,7.3,4.622,31,72.388,60.72744038
Bulgaria,BGR,1.42203E+11,6441421,22895.556,3.1,3.4,3.536,29.9,75.70731707,110.2263146
Kenya,KEN,1.40871E+11,56432944,2595.785,4.9,5.2,5.449,70.1,63.646,40.186014
Dominican Republic,DOM,1.3834E+11,11427557,12605.358,4.5,4.2,5.092,58.9,73.72,51.7835144
Ecuador,ECU,1.34711E+11,18135478,7383.917,2,2.8,3.308,53.8,77.392,57.20313955
Guatemala,GTM,1.29466E+11,18406359,6851.018,3.6,3.3,2.604,27.8,72.602,47.34419676
Puerto Rico (US),PRI,1.29192E+11,3203295,40706.63,-0.1,2.2,5.991,18.7,81.69,94.62250856
Ethiopia,ETH,1.25744E+11,132059767,1123.609,7.1,9.4,3.323,41.1,67.315,17.40043586
Ghana,GHA,1.13494E+11,34427414,3179.324,4.8,9.9,2.979,56.1,65.498,69.78842274
Croatia,HRV,1.13132E+11,3866200,29367.594,2.7,2.8,5.002,57.4,78.47317073,104.9123261
Serbia,SRB,1.12108E+11,6586476,17291.852,3.6,4,7.123,44.2,76.22097561,111.7250284
Cote d'Ivoire,CIV,1.11446E+11,31934230,3293.515,6.4,1.5,2.323,54.1,61.944,51.26403794
Angola,AGO,1.09855E+11,37885849,2700.964,2.1,16.3,14.108,63.2,64.617,50.84223056
Costa Rica,CRI,1.09135E+11,5129910,20134.229,3.3,2,6.843,59.5,80.799,71.33101377
Oman,OMN,1.08913E+11,5281538,19181.581,4,1.5,3.251,33,80.031,114.8526715
Luxembourg,LUX,1.07758E+11,677012,154115.478,2.1,2.2,6.343,28.1,83.35853659,351.2679212
Lithuania,LTU,1.04651E+11,2888278,36225.11,2.9,3.1,6.731,45.9,76.98780488,143.0483909
Sri Lanka,LKA,98964000000,21916000,4324.872,5,1.2,4.005,100.8,77.483,42.39750087
Panama,PAN,95905000000,4515577,20754.211,4,2,8.36,60.3,79.594,83.67377878
Tanzania,TZA,95349000000,68560157,1378.331,6.3,3.5,1.572,48.3,66.995,41.51312072
Uruguay,URY,90640000000,3386588,26041.371,2.4,4.5,7.516,68.3,78.138,52.46491679
Belarus,BLR,90556000000,9132629,10015.607,1.4,7.5,3.38,36.7,74.18378049,131.9179291
"Congo, Dem. Rep.",COD,88126000000,109276265,801.002,5.3,7.1,4.434,14.6,61.895,100.5540883
Slovenia,SVN,85738000000,2127400,40164.347,2.3,2.4,3.175,66.4,81.97804878,155.6579287
Azerbaijan,AZE,80024000000,10202830,7624.179,2.5,4.5,5.457,23.5,74.429,82.68986916
"Venezuela, RB",VEN,79916000000,28405543,2972.274,-3,682.1,5.307,164.3,72.514,26.08116576
Turkmenistan,TKM,76897000000,7494498,11387.051,2.3,5,4.267,3.6,70.073,28.73460763
Uganda,UGA,72456000000,50015092,1457.696,7.6,4.3,2.746,53,68.252,42.65278891
Cameroon,CMR,67517000000,29123744,2195.01,4.1,3.3,3.602,36.3,63.7,34.40317859
Myanmar,MMR,65171000000,54500091,1175.939,3,28,3.047,63,66.889,NULL
Tunisia,TUN,60434000000,12277109,4825.906,2.1,6.1,15.108,82.6,76.508,106.2985492
Jordan,JOR,59288000000,11552876,5148.701,2.9,2.6,16.535,87.5,77.814,99.67944774
Bolivia,BOL,57086000000,12413315,4585.184,0.6,20.8,2.967,93.7,68.581,46.97787161
Zimbabwe,ZWE,55434000000,16634373,3126.853,4.6,18.2,9.293,41.6,62.775,41.48653127
"Macao SAR, China",MAC,54935000000,687000,77442.645,2.8,1.2,2.347,0,83.1804878,142.0794346
Latvia,LVA,52248000000,1866124,28024.242,2.2,2.6,6.568,47.4,75.67804878,132.2625079
Paraguay,PRY,51669000000,6929153,7324.156,3.7,3.7,4.803,40.6,73.844,76.83115654
Cambodia,KHM,51506000000,17638801,2938.615,4,1.8,0.263,29.3,70.668,143.4470097
Estonia,EST,51036000000,1372341,37194.835,1.5,4.3,8.313,27.5,78.4902439,151.0377024
Bahrain,BHR,49194000000,1588670,29777.625,3.3,0.8,1.102,146.4,81.284,157.8184921
Libya,LBY,49164000000,7381023,6971.67,4.2,1.6,18.758,NULL,69.339,128.8161758
Nepal,NPL,49112000000,29651054,1657.9,5.2,4.2,10.465,49.9,70.354,40.52982268
Iceland,ISL,43404000000,386506,108591.227,2.3,3.1,3.625,44.9,82.60731707,85.96719327
Cyprus,CYP,43158000000,1358282,45600.51,2.8,1.3,4.924,53.7,81.648,190.4028709
Honduras,HND,40821000000,10825703,3698.501,3.5,4.2,4.92,44.1,72.884,91.11015859
Georgia,GEO,40177000000,3699557,10886.113,5.3,3.4,12.097,33.4,74.496,103.4564714
Senegal,SEN,39986000000,18501984,2029.801,3,2,2.735,124.3,68.683,68.14051477
Sudan,SDN,39474000000,50448963,763.085,9.5,54.6,7.53,172.4,66.331,1.995412102
El Salvador,SLV,37981000000,6338193,5932.866,2.5,1,3.303,86.9,72.099,84.65964616
Bosnia and Herzegovina,BIH,36239000000,3164253,10546.323,2.7,2.6,11.037,31.6,77.85,95.15629571
Zambia,ZMB,33945000000,21314956,1523.148,6.4,9.2,5.918,114.9,66.349,62.53488741
Papua New Guinea,PNG,33463000000,10576502,2559.993,3.5,4.6,2.571,50,66.134,NULL
Albania,ALB,32411000000,2377128,12146.864,3.6,2.8,10.926,52.7,79.602,79.45463608
Haiti,HTI,31097000000,11772557,2443.684,-1.2,26.2,14.944,10,64.936,22.24788537
Guinea,GIN,30922000000,14754785,1909.001,10.5,3,5.163,38.1,60.74,97.77781773
Burkina Faso,BFA,30705000000,23548781,1245.716,4.8,2.4,3.477,51.7,61.092,60.50242229
Malta,MLT,30437000000,568847,53082.01,3.9,2,2.896,47.3,83.50731707,218.1705524
Armenia,ARM,29082000000,3033500,9392.848,4.9,2.8,12.871,54.1,77.46585366,150.0647266
Mali,MLI,28478000000,24478595,1094.493,5.4,2,2.831,48,60.439,49.89604143
Lebanon,LBN,28280000000,5805962,5282.154,-7.5,45.2,10.985,163.8,77.817,104.2064101
Guyana,GUY,27486000000,831087,34306.679,23,4.4,11.962,29.3,70.18,NULL
Benin,BEN,27453000000,14462724,1787.643,6.7,2,1.589,49.6,60.774,40.63980224
Trinidad and Tobago,TTO,26758000000,1368333,18562.439,1.2,2.2,3.329,68.5,73.49,NULL
Mongolia,MNG,26520000000,3524788,7320.212,5.5,8.1,5.233,49.7,72.12243902,138.4483791
Mozambique,MOZ,26512000000,34631766,719.924,3.5,5.4,6.628,99.9,63.611,95.65942035
Niger,NER,26110000000,27032412,864.478,6.7,3.2,0.394,41.4,61.183,49.97598374
Jamaica,JAM,24132000000,2839175,8756.113,1.5,5,3.286,57.4,71.479,NULL
Chad,TCD,23556000000,20299123,1208.56,3.6,3.6,1.057,32.5,55.069,47.8679893
Gabon,GAB,22726000000,2538952,9647.005,2.6,2.5,20.154,82,68.337,92.04680552
Nicaragua,NIC,21860000000,6916140,3083.882,2.9,2.7,5.04,40.1,74.947,98.52583771
Kyrgyz Republic,KGZ,21563000000,7221868,2925.072,5.3,6.9,3.526,38.3,72.24878049,127.6505778
Madagascar,MDG,21091000000,31964956,652.604,4.3,7.2,3.041,50.9,63.632,54.97958814
Moldova,MDA,21024000000,2402306,8984.47,2.2,5.5,1.505,39.2,71.198,88.66611543
North Macedonia,MKD,20751000000,1824359,11527.217,3.2,3,12.256,53.9,75.31609756,136.3248762
Botswana,BWA,20708000000,2521139,7379.003,2.3,4.7,24.477,44.8,69.163,71.10525791
Tajikistan,TJK,18941000000,10590927,1798.69,5.5,4.5,6.931,22.9,71.79,65.63470104
Afghanistan,AFG,18080000000,42647492,416.85,1.7,-4.3,13.351,8.8,66.035,67.58466515
Malawi,MWI,17855000000,21655286,721.417,2.7,24.1,5.072,78.3,67.353,42.4376684
Lao PDR,LAO,17781000000,7769819,2253.934,2.5,5.5,1.187,84.7,68.964,NULL
"Yemen, Rep.",YEM,17240000000,40583164,401.279,0,18.5,17.322,68.5,69.295,NULL
"Congo, Rep.",COG,16952000000,6332961,2542.373,2.8,3.2,19.876,89.9,65.772,93.18812208
"Bahamas, The",BHS,16841000000,401283,40409.228,2.1,1,9.207,72.9,74.552,79.24245869
Mauritius,MUS,16756000000,1245779,13362.382,3.4,3.6,5.635,87.4,73.41219512,145.4217003
Brunei Darussalam,BRN,16457000000,462721,35414.068,2.4,0.6,5.277,2.3,75.327,132.5874396
Namibia,NAM,16100000000,3030131,5182.21,3.8,3.6,19.291,63.3,67.385,109.6285098
Rwanda,RWA,15472000000,14256567,1069.196,7.5,4.7,11.363,74.8,67.785,69.95441357
Equatorial Guinea,GNQ,14103000000,1892516,8377.946,0.5,2.9,8.337,38.1,63.707,60.5414511
"Somalia, Fed. Rep.",SOM,13912000000,19009151,797.831,3.3,3.5,18.948,NULL,58.816,130.3250606
Mauritania,MRT,12854000000,5169395,2716.621,4.3,3.5,10.319,40.6,68.484,93.59883559
Togo,TGO,12176000000,9515236,1215.196,5.5,4.5,1.995,70.6,62.739,61.5750924
Montenegro,MNE,10229000000,623525,16380.285,3.2,2.3,13.572,61.6,77.58780488,109.9441045
Liechtenstein,LIE,10116000000,40450,246738.259,1.5,0.6,NULL,0.5,84.84146341,NULL
Sierra Leone,SLE,9302000000,8642022,1033.293,4.9,10.5,3.15,38.6,61.786,40.54544505
Burundi,BDI,9212000000,14047786,618.12,4.1,26.3,0.922,40.9,63.651,NULL
Maldives,MDV,8221000000,527799,19682.118,4.5,2.5,4.514,135.9,81.041,156.4739557
Barbados,BRB,7944000000,282467,27175.05,2.1,2.5,6.524,94.6,76.178,NULL
Fiji,FJI,6696000000,928784,7170.018,3.1,1.1,5.347,79.8,67.316,NULL
South Sudan,SSD,6033000000,11943408,368.831,22.4,15.8,12.374,60.2,57.617,NULL
Liberia,LBR,5594000000,5612817,955.666,5.4,7.7,2.884,54.2,62.163,NULL
Eswatini,SWZ,5495000000,1242822,4610.137,4.6,4,34.202,43.5,64.123,107.4806211
Djibouti,DJI,5003000000,1168722,4680.792,6,1.4,26.015,28,65.987,241.2374631
Suriname,SUR,4870000000,634431,7300.499,3.7,9.6,7.834,82.7,73.631,NULL
Andorra,AND,4715000000,81938,51681.217,1.6,1.8,NULL,30.7,84.041,NULL
Aruba,ABW,4471000000,107995,41026.391,2.2,2.1,NULL,63.9,76.353,160.3652788
Bhutan,BTN,3771000000,791524,4710.109,7.4,3.4,3.227,121.1,72.975,81.73662787
Central African Republic,CAF,3708000000,5330690,650.684,3.3,3.3,6.251,52.5,57.408,46.43189998
Belize,BLZ,3442000000,417072,8115.795,2.4,1.9,8.856,63.5,73.566,108.9724465
Cabo Verde,CPV,3138000000,524877,6069.475,4.8,2,11.939,101,76.059,96.50535367
St. Lucia,LCA,2770000000,179744,15162.972,2.1,1.5,9.452,77.2,72.697,NULL
Guinea-Bissau,GNB,2764000000,2201352,1341.663,5,2,2.673,74,64.085,38.80658479
"Gambia, The",GMB,2672000000,2759988,924.765,5.1,4.9,6.521,70,65.86,42.17061723
Lesotho,LSO,2474000000,2337423,1024.099,1.1,4.8,16.315,57.1,57.375,141.5137559
Antigua and Barbuda,ATG,2456000000,93772,23116.824,2.5,2.4,NULL,63.8,77.598,117.7035278
San Marino,SMR,2393000000,33977,69493.436,1.3,2,NULL,61.8,85.706,340.983395
Seychelles,SYC,2249000000,121354,21939.997,3.2,1.1,NULL,58.4,74.95853659,188.3691853
Timor-Leste,TLS,2208000000,1400638,1546.912,3.3,1.8,1.592,14.7,67.689,95.44850213
Solomon Islands,SLB,2051000000,819198,2522.482,2.8,3.7,1.431,25.1,70.528,111.3529721
Comoros,COM,1770000000,866628,1904.282,4,1.9,3.819,32.6,66.777,44.37317675
Grenada,GRD,1524000000,117207,13041.07,3.4,1.1,NULL,65.5,75.205,NULL
Samoa,WSM,1333000000,218019,6252.63,3.2,3.2,4.996,17.7,71.698,79.52414618
St. Vincent and the Grenadines,VCT,1299000000,100616,11663.213,2.7,2.1,18.003,90.5,71.23,NULL
St. Kitts and Nevis,KNA,1190000000,46843,23070.687,2.2,2.1,NULL,67.5,72.145,NULL
Vanuatu,VUT,1176000000,327777,3184.842,2.8,2.2,5.073,51.5,71.477,63.59961217
Sao Tome and Principe,STP,1125000000,235536,4590.682,4.7,7,9.132,45.4,69.718,NULL
Dominica,DMA,791000000,66205,10458.779,3.3,2.3,NULL,92.5,71.132,NULL
Tonga,TON,616000000,104175,6221.162,2.3,2.2,2.008,37.8,72.895,79.6239205
"Micronesia, Fed. Sts.",FSM,519000000,113160,5492.292,1.4,3.4,NULL,6.8,67.198,98.4249673
Palau,PLW,362000000,17695,20718.247,3.3,2.9,NULL,59,69.269,106.6975903
Kiribati,KIR,343000000,134518,2615.178,3.2,3.5,NULL,16.5,66.473,107.6037785
Marshall Islands,MHL,332000000,37548,9391.42,4.1,5.9,NULL,14.9,66.945,123.809134
Nauru,NRU,183000000,11947,14958.977,1.9,4.5,NULL,13,62.109,165.8467742
Tuvalu,TUV,61000000,9646,6136.58,2.6,2.3,NULL,3.6,67.105,NULL
American Samoa,ASM,NULL,46765,NULL,NULL,NULL,NULL,NULL,72.852,124.684271
Bermuda,BMU,NULL,64636,NULL,NULL,NULL,NULL,NULL,82.309,75.29024433
British Virgin Islands,VGB,NULL,39471,NULL,NULL,NULL,NULL,NULL,77.276,NULL
Cayman Islands,CYM,NULL,74457,NULL,NULL,NULL,NULL,NULL,80.358,105.4727902
Channel Islands,CHI,NULL,168126,NULL,NULL,NULL,6.169,NULL,81.1,NULL
Cuba,CUB,NULL,10979783,NULL,NULL,NULL,1.746,NULL,78.085,124.8632389
Curacao,CUW,NULL,155967,NULL,NULL,NULL,NULL,NULL,76.8,NULL
Eritrea,ERI,NULL,3535603,NULL,NULL,NULL,5.978,NULL,68.624,NULL
Faroe Islands,FRO,NULL,54681,NULL,NULL,NULL,NULL,NULL,83.14390244,105.752803
French Polynesia,PYF,NULL,281807,NULL,NULL,NULL,11.662,NULL,84.07,64.46886657
Gibraltar,GIB,NULL,39329,NULL,NULL,NULL,NULL,NULL,83.553,NULL
Greenland,GRL,NULL,56836,NULL,NULL,NULL,NULL,NULL,71.5497561,91.89009944
Guam,GUM,NULL,167777,NULL,NULL,NULL,5.569,NULL,77.209,71.86685962
Isle of Man,IMN,NULL,84160,NULL,NULL,NULL,NULL,NULL,80.999,NULL
"Korea, Dem. People's Rep.",PRK,NULL,26498823,NULL,NULL,NULL,3.545,NULL,73.642,NULL
Kosovo,XKX,NULL,1594353,NULL,NULL,NULL,NULL,NULL,78.033,113.789652
Monaco,MCO,NULL,38631,NULL,NULL,NULL,NULL,NULL,86.372,NULL
New Caledonia,NCL,NULL,292639,NULL,NULL,NULL,11.174,NULL,78.766,40.36895772
Northern Mariana Islands,MNP,NULL,44278,NULL,NULL,NULL,NULL,NULL,78.808,93.15693431
Sint Maarten (Dutch part),SXM,NULL,43350,NULL,NULL,NULL,NULL,NULL,76.371,NULL
St. Martin (French part),MAF,NULL,26129,NULL,NULL,NULL,NULL,NULL,80.224,NULL
Syrian Arab Republic,SYR,NULL,24672760,NULL,NULL,NULL,13.569,NULL,72.12,35.60946808
Turks and Caicos Islands,TCA,NULL,46535,NULL,NULL,NULL,NULL,NULL,78.008,NULL
Virgin Islands (U.S.),VIR,NULL,104377,NULL,NULL,NULL,11.443,NULL,80.5195122,205.6292808
West Bank and Gaza,PSE,NULL,5289152,NULL,NULL,NULL,24.42,NULL,65.17,81.31368016
World,WLD,,,,,,,,,
